line
flight
year
doy
tt
mag_1_uc
mag_2_uc
mag_3_uc
mag_4_uc
mag_5_uc
mag_6_uc
flux_a_x
flux_a_y
flux_a_z
flux_a_t
flux_b_x
flux_b_y
flux_b_z
flux_b_t
flux_c_x
flux_c_y
flux_c_z
flux_c_t
flux_d_x
flux_d_y
flux_d_z
flux_d_t
